l1,size,top_family,top_family_count,purity
255,15,other,13,0.8666666666666667
66,15,other,14,0.9333333333333333
71,15,gauge_meter,11,0.7333333333333333
78,15,other,12,0.8
89,15,adhesive_epoxy,6,0.4
96,15,other,11,0.7333333333333333
106,14,tape,14,1.0
120,14,other,14,1.0
130,14,tape,12,0.8571428571428571
133,14,gauge_meter,8,0.5714285714285714
15,14,other,13,0.9285714285714286
160,14,other,13,0.9285714285714286
161,14,gauge_meter,13,0.9285714285714286
170,14,other,10,0.7142857142857143
184,14,other,14,1.0
203,14,metadata_placeholder,9,0.6428571428571429
209,14,other,10,0.7142857142857143
213,14,gauge_meter,11,0.7857142857142857
47,14,tape,7,0.5
5,14,other,14,1.0
53,14,other,11,0.7857142857142857
98,14,other,7,0.5
10,13,other,6,0.46153846153846156
121,13,tape,8,0.6153846153846154
14,13,other,10,0.7692307692307693
140,13,other,10,0.7692307692307693
147,13,other,8,0.6153846153846154
153,13,other,11,0.8461538461538461
155,13,other,9,0.6923076923076923
174,13,other,12,0.9230769230769231
180,13,gauge_meter,8,0.6153846153846154
187,13,other,13,1.0
188,13,other,12,0.9230769230769231
20,13,fastener,5,0.38461538461538464
205,13,other,9,0.6923076923076923
21,13,other,8,0.6153846153846154
225,13,other,6,0.46153846153846156
226,13,other,13,1.0
229,13,other,13,1.0
26,13,other,12,0.9230769230769231
35,13,fastener,13,1.0
37,13,other,5,0.38461538461538464
40,13,other,10,0.7692307692307693
6,13,other,7,0.5384615384615384
68,13,other,13,1.0
77,13,other,7,0.5384615384615384
84,13,other,10,0.7692307692307693
11,12,other,9,0.75
110,12,other,12,1.0
118,12,other,10,0.8333333333333334
135,12,other,8,0.6666666666666666
145,12,gauge_meter,10,0.8333333333333334
150,12,other,10,0.8333333333333334
172,12,other,8,0.6666666666666666
182,12,gauge_meter,6,0.5
19,12,other,11,0.9166666666666666
194,12,other,9,0.75
231,12,other,12,1.0
244,12,other,9,0.75
248,12,other,11,0.9166666666666666
25,12,other,12,1.0
253,12,other,8,0.6666666666666666
65,12,other,12,1.0
67,12,gauge_meter,6,0.5
85,12,other,11,0.9166666666666666
0,11,other,9,0.8181818181818182
128,11,adhesive_epoxy,10,0.9090909090909091
146,11,other,9,0.8181818181818182
159,11,fastener,11,1.0
17,11,other,10,0.9090909090909091
178,11,other,7,0.6363636363636364
208,11,other,11,1.0
217,11,other,7,0.6363636363636364
220,11,other,6,0.5454545454545454
224,11,other,7,0.6363636363636364
234,11,other,8,0.7272727272727273
237,11,other,9,0.8181818181818182
245,11,adhesive_epoxy,9,0.8181818181818182
252,11,other,8,0.7272727272727273
46,11,fastener,10,0.9090909090909091
54,11,gauge_meter,5,0.45454545454545453
7,11,3d_filament,6,0.5454545454545454
75,11,gauge_meter,9,0.8181818181818182
83,11,other,10,0.9090909090909091
93,11,adhesive_epoxy,10,0.9090909090909091
97,11,fastener,11,1.0
143,10,other,9,0.9
149,10,tape,4,0.4
