target_l1,test_count,l1_missing_rate,hit10,bucket_size,bucket_purity,bucket_top_family,test_families,top_pred1_l1_when_missing
<a_250>,12,0.8333333333333334,0.0,22,0.5,other,other:5; tape:4; 3d_filament:2; gauge_meter:1,<a_170>:2; <a_165>:2; <a_31>:1; <a_101>:1; <a_14>:1
<a_245>,6,0.8333333333333334,0.0,16,0.8125,other,other:5; tape:1,<a_221>:1; <a_183>:1; <a_103>:1; <a_163>:1; <a_158>:1
<a_125>,23,0.8260869565217391,0.13043478260869565,19,0.8421052631578947,other,other:22; gauge_meter:1,<a_249>:2; <a_160>:2; <a_24>:1; <a_12>:1; <a_170>:1
<a_238>,23,0.8260869565217391,0.08695652173913043,19,1.0,metadata_placeholder,metadata_placeholder:23,<a_160>:3; <a_81>:2; <a_191>:2; <a_101>:1; <a_222>:1
<a_251>,23,0.8260869565217391,0.08695652173913043,33,0.9090909090909091,fastener,fastener:22; other:1,<a_81>:2; <a_160>:2; <a_191>:1; <a_77>:1; <a_168>:1
<a_173>,34,0.8235294117647058,0.058823529411764705,24,0.4583333333333333,tape,tape:23; gauge_meter:5; other:3; ventilation_fan:3,<a_160>:3; <a_107>:2; <a_81>:2; <a_251>:2; <a_142>:2
<a_208>,34,0.8235294117647058,0.08823529411764706,23,0.782608695652174,other,other:31; ventilation_fan:2; 3d_filament:1,<a_160>:4; <a_142>:3; <a_122>:2; <a_81>:2; <a_123>:1
<a_55>,27,0.8148148148148149,0.18518518518518517,21,0.42857142857142855,other,ventilation_fan:15; other:5; connector_fitting:4; 3d_filament:3,<a_31>:4; <a_142>:3; <a_250>:2; <a_222>:1; <a_126>:1
<a_223>,59,0.8135593220338984,0.0,42,0.9761904761904762,3d_filament,3d_filament:59,<a_142>:13; <a_165>:11; <a_168>:7; <a_123>:6; <a_209>:3
<a_178>,15,0.8,0.0,13,0.5384615384615384,3d_filament,3d_filament:11; other:4,<a_142>:5; <a_123>:2; <a_140>:1; <a_209>:1; <a_120>:1
<a_233>,24,0.7916666666666666,0.125,17,0.6470588235294118,connector_fitting,connector_fitting:16; other:4; gauge_meter:4,<a_52>:2; <a_142>:2; <a_222>:2; <a_160>:1; <a_101>:1
<a_14>,37,0.7837837837837838,0.16216216216216217,24,0.6666666666666666,other,other:24; gauge_meter:7; tape:6,<a_222>:3; <a_57>:2; <a_233>:2; <a_82>:1; <a_23>:1
<a_252>,23,0.782608695652174,0.13043478260869565,23,0.9565217391304348,other,other:23,<a_160>:3; <a_208>:2; <a_222>:2; <a_185>:1; <a_101>:1
