baseline,family,n,r693_hit1,baseline_hit1,delta_hit1,r693_hit10,baseline_hit10,delta_hit10,r693_ndcg10,baseline_ndcg10,delta_ndcg10,r693_only_hit10_count,baseline_only_hit10_count
r680a,3d_filament,1101,0.03814713896457766,0.029064486830154404,0.009082652134423254,0.18891916439600362,0.15803814713896458,0.03088101725703904,0.1027489823711656,0.08544165082281738,0.017307331548348223,81,47
r680a,other,1873,0.036305392418579815,0.04805125467164976,-0.011745862253069943,0.06727175654030966,0.07421249332621463,-0.006940736785904969,0.04922840883618921,0.058974945862632015,-0.009746537026442806,27,40
r680a,gauge_meter,513,0.30214424951267055,0.32943469785575047,-0.02729044834307992,0.42300194931773877,0.4152046783625731,0.007797270955165692,0.36172290194282347,0.37149187497002795,-0.009768973027204475,22,18
r680a,connector_fitting,273,0.040293040293040296,0.02564102564102564,0.014652014652014655,0.11355311355311355,0.11355311355311355,0.0,0.06789417252630797,0.06637163069642624,0.001522541829881735,15,15
r680a,tape,301,0.023255813953488372,0.029900332225913623,-0.006644518272425251,0.09302325581395349,0.09634551495016612,-0.0033222591362126325,0.05433237709282832,0.05756275316964806,-0.003230376076819738,9,10
r680a,adhesive_epoxy,224,0.008928571428571428,0.013392857142857142,-0.004464285714285714,0.05357142857142857,0.049107142857142856,0.004464285714285712,0.027124003482214696,0.03072317272283955,-0.0035991692406248527,6,5
r680a,fastener,142,0.0,0.0,0.0,0.014084507042253521,0.035211267605633804,-0.02112676056338028,0.0074761007862313425,0.01362209042073097,-0.006145989634499628,0,3
r680a,metadata_placeholder,30,0.0,0.0,0.0,0.1,0.06666666666666667,0.03333333333333334,0.03450687537256699,0.03392608536019997,0.0005807900123670218,2,1
r680a,ventilation_fan,64,0.015625,0.03125,-0.015625,0.203125,0.171875,0.03125,0.10250325729101382,0.10537351804458914,-0.0028702607535753127,3,1
r680a,test_strip,12,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.04817747105298131,0.0,0.04817747105298131,2,0
v2_on_p05,3d_filament,1101,0.03814713896457766,0.03178928247048138,0.00635785649409628,0.18891916439600362,0.19346049046321526,-0.004541326067211637,0.1027489823711656,0.09906114541516568,0.003687836955999918,73,78
v2_on_p05,other,1873,0.036305392418579815,0.044847837693539776,-0.00854244527495996,0.06727175654030966,0.07314468766684463,-0.005872931126534975,0.04922840883618921,0.05697760696690505,-0.00774919813071584,27,38
v2_on_p05,gauge_meter,513,0.30214424951267055,0.3333333333333333,-0.031189083820662766,0.42300194931773877,0.4171539961013645,0.005847953216374269,0.36172290194282347,0.3729669321844981,-0.01124403024167464,20,17
v2_on_p05,connector_fitting,273,0.040293040293040296,0.04395604395604396,-0.003663003663003664,0.11355311355311355,0.11721611721611722,-0.003663003663003664,0.06789417252630797,0.07479517554068268,-0.0069010030143747125,9,10
v2_on_p05,tape,301,0.023255813953488372,0.029900332225913623,-0.006644518272425251,0.09302325581395349,0.09302325581395349,0.0,0.05433237709282832,0.0565206353143055,-0.0021882582214771754,10,10
v2_on_p05,adhesive_epoxy,224,0.008928571428571428,0.008928571428571428,0.0,0.05357142857142857,0.0625,-0.008928571428571432,0.027124003482214696,0.030261549690880987,-0.0031375462086662906,7,9
v2_on_p05,metadata_placeholder,30,0.0,0.03333333333333333,-0.03333333333333333,0.1,0.16666666666666666,-0.06666666666666665,0.03450687537256699,0.07924744411132928,-0.04474056873876229,2,4
v2_on_p05,fastener,142,0.0,0.014084507042253521,-0.014084507042253521,0.014084507042253521,0.035211267605633804,-0.02112676056338028,0.0074761007862313425,0.02531825943997358,-0.017842158653742238,0,3
v2_on_p05,test_strip,12,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,-0.16666666666666666,0.04817747105298131,0.11682957455478332,-0.06865210350180201,1,3
v2_on_p05,ventilation_fan,64,0.015625,0.0625,-0.046875,0.203125,0.171875,0.03125,0.10250325729101382,0.10736725691269741,-0.004863999621683587,4,2
