family,variant,n_items,active_l1_in_family,active_l2_in_family,top_l1,top_l1_family_count,top_l1_family_coverage,top_l1_bucket_size,top_l1_bucket_purity,mean_items_per_l1_in_family
fastener,R680a,187,46,151,<a_142>,19,0.10160427807486631,19,1.0,4.065217391304348
fastener,R690a,187,33,131,<a_198>,71,0.37967914438502676,91,0.7802197802197802,5.666666666666667
fastener,R690b,187,19,115,<a_45>,117,0.6256684491978609,162,0.7222222222222222,9.842105263157896
fastener,R693a,187,29,115,<a_235>,79,0.42245989304812837,85,0.9294117647058824,6.448275862068965
ventilation_fan,original,58,24,50,<a_210>,9,0.15517241379310345,95,0.09473684210526316,2.4166666666666665
ventilation_fan,v2,58,34,51,<a_175>,8,0.13793103448275862,14,0.5714285714285714,1.7058823529411764
ventilation_fan,R650a,58,35,53,<a_165>,7,0.1206896551724138,22,0.3181818181818182,1.6571428571428573
ventilation_fan,R680a,58,33,51,<a_254>,7,0.1206896551724138,21,0.3333333333333333,1.7575757575757576
ventilation_fan,R690a,58,29,55,<a_73>,9,0.15517241379310345,31,0.2903225806451613,2.0
ventilation_fan,R690b,58,18,48,<a_79>,10,0.1724137931034483,77,0.12987012987012986,3.2222222222222223
ventilation_fan,R693a,58,26,45,<a_90>,11,0.1896551724137931,78,0.14102564102564102,2.230769230769231
test_strip,original,9,3,5,<a_94>,5,0.5555555555555556,111,0.04504504504504504,3.0
test_strip,v2,9,5,8,<a_92>,5,0.5555555555555556,12,0.4166666666666667,1.8
test_strip,R650a,9,4,9,<a_160>,5,0.5555555555555556,19,0.2631578947368421,2.25
test_strip,R680a,9,2,7,<a_112>,7,0.7777777777777778,34,0.20588235294117646,4.5
test_strip,R690a,9,2,8,<a_51>,7,0.7777777777777778,31,0.22580645161290322,4.5
test_strip,R690b,9,3,5,<a_226>,6,0.6666666666666666,110,0.05454545454545454,3.0
test_strip,R693a,9,2,8,<a_153>,7,0.7777777777777778,33,0.21212121212121213,4.5
